URN,Registration status,Date closed
SC423753,Resigned,27/10/2023
SC424851,Resigned,14/02/2024
SC425786,Resigned,01/05/2023
SC431696,Resigned,01/04/2023
SC432843,Resigned,25/03/2024
SC436818,Resigned,22/08/2023
SC437128,Resigned,28/06/2023
SC438764,Resigned,09/05/2023
SC441080,Resigned,19/05/2023
SC446003,Resigned,24/05/2023
SC446588,Resigned,15/07/2023
SC449307,Resigned,31/12/2023
SC454035,Resigned,21/01/2024
SC457132,Resigned,30/09/2023
SC459667,Resigned,06/07/2023
SC459857,Resigned,03/12/2023
SC469113,Resigned,05/10/2023
SC472102,Resigned,31/03/2023
SC472977,Resigned,01/04/2023
SC473682,Resigned,01/07/2021
SC473713,Resigned,01/09/2023
SC474894,Resigned,15/08/2023
SC476252,Resigned,29/03/2023
SC477205,Resigned,30/04/2023
SC481209,Resigned,17/03/2023
SC482295,Resigned,28/06/2023
SC482300,Resigned,19/05/2023
SC485109,Active,
SC486606,Resigned,01/04/2023
SC489610,Resigned,08/11/2023
