type,message,filename,uuid,session_id
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Closed_childrens_homes_31Mar23.csv,14c08a6e957c449a84861734c6b99188,20240514T144456.023516
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Providers+places_at_31_Aug_2023.csv,1b05fd80f2ee41c28735e5ee1fd9473d,20240514T144456.023516
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Provider_level_at_31_Aug_2023.csv,e5d3dfe0e2464b938ecc9d32c317d679,20240514T144456.023516
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Provider_level_in_year_2022-23.csv,3cf0590d28c54610a59838eef3ac1e21,20240514T144456.023516
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\ONS Area\ONS Area.csv,ffec29f97c454a2d9e57b73117248e8d,20240514T144456.023516
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Postcode directory\ONSPD reduced to postcode sector.csv,dceb934ef40d49cda6185eca07c46e56,20240514T144456.023516
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\SSDA903\pan_London_SSDA903_Episodes.csv,9b3e8625700340319b670437b33c13a6,20240514T144456.023516
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\SSDA903\pan_London_SSDA903_Header.csv,7da697d4528d42a485f38f47e1bde15d,20240514T144456.023516
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\SSDA903\pan_London_SSDA903_UASC.csv,0a2b1d34c8de406daab09fdebda58181,20240514T144456.023516
