type,message,filename,uuid,session_id
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Closed_childrens_homes_31Mar23.csv,6b23cfa4c8aa42ddaab3afea0d6b0150,20240528T131846.186101
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Providers+places_at_31_Aug_2023.csv,5afa09943f604507841d05d92b27b87c,20240528T131846.186101
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Provider_level_at_31_Aug_2023.csv,358f3bb75f51475b900738f5bc766e91,20240528T131846.186101
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Provider_level_in_year_2022-23.csv,5eda95df6fc043d6963e3dae3ba71513,20240528T131846.186101
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\ONS Area\ONS Area.csv,a0bead01aa2843368f0ddd6707f4bbef,20240528T131846.186101
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Postcode directory\ONSPD reduced to postcode sector.csv,1bff0c4523b0444ab9db87a7537aa698,20240528T131846.186101
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\SSDA903\pan_London_SSDA903_Episodes.csv,9663c178e7ce48f8ab5c621ce898ef35,20240528T131846.186101
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\SSDA903\pan_London_SSDA903_Header.csv,8cc6dc35193f44d79dc93b49930be60b,20240528T131846.186101
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\SSDA903\pan_London_SSDA903_UASC.csv,8cd3a8c8b0ea4e86ad625298dd16a12d,20240528T131846.186101
