type,message,filename,uuid,session_id
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\CIN sample\cin-2022.xml,39ba824723c74399a2821f6accae79fd,20240528T133142.883594
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Closed_childrens_homes_31Mar23.csv,93249447d2a44efb9dae81e263657f3e,20240528T133142.883594
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Providers+places_at_31_Aug_2023.csv,b3fcd03146f84a8da0168cd3f694d683,20240528T133142.883594
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Provider_level_at_31_Aug_2023.csv,ef05a5488b714083b40880a5dc21d7bb,20240528T133142.883594
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Provider_level_in_year_2022-23.csv,af48dc51133c4e91bec909e43bf105a2,20240528T133142.883594
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\ONS Area\ONS Area.csv,fec8104b5f05435897d226baf44fbbd3,20240528T133142.883594
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Postcode directory\ONSPD reduced to postcode sector.csv,28917b8125be409e8b2594dd4b6cb668,20240528T133142.883594
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\SSDA903\pan_London_SSDA903_Episodes.csv,ff212d8f22f84b4b8d5a3a7d0331f8c5,20240528T133142.883594
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\SSDA903\pan_London_SSDA903_Header.csv,a7b27410148a43c2ac9436b1d517b1d0,20240528T133142.883594
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\SSDA903\pan_London_SSDA903_UASC.csv,56e50f8867a440359c0b7d033aa14047,20240528T133142.883594
